N         Bubblesort               BetterBubble             Selectsort               Insertionsort     
9         0.0                      0.0                      0.0                      0.0                      
19        0.0                      0.0                      0.0                      0.0                      
29        0.0                      0.0                      0.0                      0.0                      
39        0.0                      0.0                      0.0                      0.0                      
49        0.002008676528930664     0.002008676528930664     0.0                      0.002008676528930664     
59        0.0                      0.0                      0.0                      0.0                      
69        0.0                      0.0                      0.0                      0.0                      
79        0.0                      0.0                      0.0                      0.0                      
89        0.00038433074951171875   0.00038433074951171875   0.0                      0.00038433074951171875   
0         0.0                      0.0                      0.0                      0.0                      
24        0.0                      0.0                      0.0                      0.0                      
49        0.0                      0.0                      0.0                      0.0                      
74        0.0                      0.0                      0.0                      0.0                      
99        0.0                      0.0                      0.0                      0.0                      
124       0.0                      0.0                      0.0                      0.0                      
149       0.0                      0.0                      0.0004584789276123047    0.0                      
174       0.0028645992279052734    0.0028645992279052734    0.00041484832763671875   0.0028645992279052734    
199       0.00179290771484375      0.00179290771484375      0.001476287841796875     0.00179290771484375      
224       0.0024476051330566406    0.0024476051330566406    0.0038385391235351562    0.0024476051330566406    
249       0.0019440650939941406    0.0019440650939941406    0.0023949146270751953    0.0019440650939941406    
274       0.0019707679748535156    0.0019707679748535156    0.0                      0.0019707679748535156    
299       0.0                      0.0                      0.012608528137207031     0.0                      
324       0.004438161849975586     0.004438161849975586     0.0004413127899169922    0.004438161849975586     
349       0.0056154727935791016    0.0056154727935791016    0.0032939910888671875    0.0056154727935791016    
374       0.006623506546020508     0.006623506546020508     0.0                      0.006623506546020508     
399       0.00998377799987793      0.00998377799987793      0.0                      0.00998377799987793      
424       0.001007080078125        0.001007080078125        0.0                      0.001007080078125        
449       0.012681961059570312     0.012681961059570312     0.004660367965698242     0.012681961059570312     
474       0.013154745101928711     0.013154745101928711     0.0                      0.013154745101928711     
499       0.012604951858520508     0.012604951858520508     0.0                      0.012604951858520508     
524       0.0020678043365478516    0.0020678043365478516    0.01689314842224121      0.0020678043365478516    
549       0.01605987548828125      0.01605987548828125      0.0                      0.01605987548828125      
574       0.01865386962890625      0.01865386962890625      0.0074863433837890625    0.01865386962890625      
599       0.023293733596801758     0.023293733596801758     0.00529789924621582      0.023293733596801758     
624       0.011314868927001953     0.011314868927001953     0.015963315963745117     0.011314868927001953     
649       0.014008760452270508     0.014008760452270508     0.008931875228881836     0.014008760452270508     
674       0.017879247665405273     0.017879247665405273     0.014432430267333984     0.017879247665405273     
699       0.027149438858032227     0.027149438858032227     0.0066950321197509766    0.027149438858032227     
724       0.02800750732421875      0.02800750732421875      0.0                      0.02800750732421875      
749       0.02812790870666504      0.02812790870666504      0.011977434158325195     0.02812790870666504      
774       0.04353022575378418      0.04353022575378418      0.0020160675048828125    0.04353022575378418      
799       0.03255772590637207      0.03255772590637207      0.006737947463989258     0.03255772590637207      
824       0.03506135940551758      0.03506135940551758      0.027251720428466797     0.03506135940551758      
849       0.03738546371459961      0.03738546371459961      0.0071375370025634766    0.03738546371459961      
874       0.15535759925842285      0.15535759925842285      0.008037090301513672     0.15535759925842285      
899       0.04072308540344238      0.04072308540344238      0.014035224914550781     0.04072308540344238      
924       0.04476356506347656      0.04476356506347656      0.015002965927124023     0.04476356506347656      
949       0.057927608489990234     0.057927608489990234     0.018399953842163086     0.057927608489990234     
974       0.03612041473388672      0.03612041473388672      0.004208803176879883     0.03612041473388672      
999       0.0554201602935791       0.0554201602935791       0.01473093032836914      0.0554201602935791       
1024      0.05932116508483887      0.05932116508483887      0.01609063148498535      0.05932116508483887      
1049      0.05741095542907715      0.05741095542907715      0.016409635543823242     0.05741095542907715      
1074      0.05492973327636719      0.05492973327636719      0.025622844696044922     0.05492973327636719      
1099      0.06948280334472656      0.06948280334472656      0.017271995544433594     0.06948280334472656      
1124      0.05992412567138672      0.05992412567138672      0.030605077743530273     0.05992412567138672      
1149      0.07977867126464844      0.07977867126464844      0.01824331283569336      0.07977867126464844      
1174      0.07581520080566406      0.07581520080566406      0.025120973587036133     0.07581520080566406      
1199      0.08034491539001465      0.08034491539001465      0.018233776092529297     0.08034491539001465      
1224      0.07584214210510254      0.07584214210510254      0.018436431884765625     0.07584214210510254      
1249      0.08065199851989746      0.08065199851989746      0.022791385650634766     0.08065199851989746      
1274      0.09647226333618164      0.09647226333618164      0.03828740119934082      0.09647226333618164      
1299      0.09305286407470703      0.09305286407470703      0.03177165985107422      0.09305286407470703      
1324      0.11548399925231934      0.11548399925231934      0.038331031799316406     0.11548399925231934      
1349      0.0920720100402832       0.0920720100402832       0.03471851348876953      0.0920720100402832       
1374      0.1341559886932373       0.1341559886932373       0.04510617256164551      0.1341559886932373       
1399      0.1146237850189209       0.1146237850189209       0.02632451057434082      0.1146237850189209       
1424      0.10418152809143066      0.10418152809143066      0.0693821907043457       0.10418152809143066      
1449      0.11090922355651855      0.11090922355651855      0.0606379508972168       0.11090922355651855      
1474      0.1155080795288086       0.1155080795288086       0.03323054313659668      0.1155080795288086       
1499      0.11827898025512695      0.11827898025512695      0.04237246513366699      0.11827898025512695      
1524      0.1343858242034912       0.1343858242034912       0.06701135635375977      0.1343858242034912       
1549      0.13658618927001953      0.13658618927001953      0.0807492733001709       0.13658618927001953      
1574      0.12064146995544434      0.12064146995544434      0.06271529197692871      0.12064146995544434      
1599      0.1480417251586914       0.1480417251586914       0.03638029098510742      0.1480417251586914       
1624      0.1374504566192627       0.1374504566192627       0.06166791915893555      0.1374504566192627       
1649      0.14943480491638184      0.14943480491638184      0.05308938026428223      0.14943480491638184      
