2025-09-10 10:24:14.774314
N		Bubblesort		BetterBubble		Selectsort		Insertionsort
5410      1.5714628696             1.5714628696             0.4479942322             0.0010056496             
5510      1.7188148499             1.7188148499             0.488257885              0.0010020733             
5610      1.6743783951             1.6743783951             0.4933900833             0.0                      
5710      1.7670142651             1.7670142651             0.5049967766             0.0                      
5810      1.7775533199             1.7775533199             0.5395145416             0.0010032654             
5910      1.9514262676             1.9514262676             0.5587518215             0.0                      
6010      1.9772341251             1.9772341251             0.5897278786             0.0                      
6110      2.0009310246             2.0009310246             0.5916001797             0.0                      
6210      2.3036949635             2.3036949635             0.6103224754             0.0010025501             
6310      2.4573364258             2.4573364258             1.3452289104             0.0                      
6410      5.0390684605             5.0390684605             1.4068646431             0.0010054111             
6510      5.1178979874             5.1178979874             1.48909688               0.0010025501             
6610      5.3533809185             5.3533809185             1.5015034676             0.0                      
6710      5.276569128              5.276569128              1.5687422752             0.0005130768             
6810      5.4660172462             5.4660172462             1.6062693596             0.0                      
6910      5.769472599              5.769472599              2.0787162781             0.0                      
7010      6.282656908              6.282656908              1.7459359169             0.0                      
7110      6.1424429417             6.1424429417             1.8028700352             0.0                      
7210      6.3628489971             6.3628489971             1.8715713024             0.0012397766             
7310      6.274900198              6.274900198              1.9653847218             0.0046157837             
7410      5.8565557003             5.8565557003             0.9971079826             0.0                      
7510      3.0719854832             3.0719854832             0.9357659817             0.0                      
7610      3.1665387154             3.1665387154             0.927836895              0.0                      
7710      3.2147839069             3.2147839069             0.9068748951             0.0                      
7810      3.2610034943             3.2610034943             0.9529979229             0.0                      
7910      3.4197182655             3.4197182655             1.0453608036             0.0                      
8010      3.5245480537             3.5245480537             1.0449793339             0.0                      
8110      3.8078486919             3.8078486919             1.0280952454             0.0                      
8210      3.8319268227             3.8319268227             1.0811407566             0.0                      
8310      3.8503241539             3.8503241539             1.1025834084             0.0                      
8410      3.7027816772             3.7027816772             1.1251232624             0.0                      
8510      4.2105886936             4.2105886936             1.1219859123             0.0                      
8610      3.9709410667             3.9709410667             1.2201066017             0.0                      
8710      4.801350832              4.801350832              1.1671621799             0.0                      
8810      4.1139481068             4.1139481068             1.2368323803             0.0                      
8910      4.4014139175             4.4014139175             1.22199893               0.0                      
9010      4.3647892475             4.3647892475             1.2995288372             0.0                      
9110      4.5332505703             4.5332505703             1.2907619476             0.0                      
9210      4.4954507351             4.4954507351             1.2917551994             0.0                      
9310      4.663946867              4.663946867              1.3276669979             0.0                      
9410      4.9315390587             4.9315390587             1.3948087692             0.0                      
9510      5.1446135044             5.1446135044             1.3992717266             0.0                      
9610      5.0722093582             5.0722093582             1.4789276123             0.0                      
9710      5.1886348724             5.1886348724             1.440505743              0.0                      
9810      5.1012895107             5.1012895107             1.4889895916             0.0                      
9910      5.4806962013             5.4806962013             1.555410862              0.0                      

2025-09-10 11:10:19.144942
N         Bubblesort               BetterBubble             Selectsort               Insertionsort            
10        0.0                      0.0                      0.0                      0.0                      
20        0.0                      0.0                      0.0                      0.0                      
30        0.0                      0.0                      0.0                      0.0                      
40        0.0                      0.0                      0.0                      0.0                      
50        0.0                      0.0                      0.0                      0.0                      
60        0.0                      0.0                      0.0                      0.0                      
70        0.0                      0.0                      0.0                      0.0                      
80        0.0                      0.0                      0.0                      0.0                      
90        0.0                      0.0                      0.0                      0.0                      

2025-09-10 11:10:46.030888
N         Bubblesort               BetterBubble             Selectsort               Insertionsort            
10        0.0                      0.0                      0.0                      0.0                      
20        0.0                      0.0                      0.0                      0.0                      
30        0.0                      0.0                      0.0                      0.0                      
40        0.0                      0.0                      0.0                      0.0                      
50        0.0020086765             0.0020086765             0.0                      0.0                      
60        0.0                      0.0                      0.0                      0.0                      
70        0.0                      0.0                      0.0                      0.0                      
80        0.0                      0.0                      0.0                      0.0                      
90        0.0003843307             0.0003843307             0.0                      0.0                      

2025-09-10 11:13:26.809057
N         Bubblesort               BetterBubble             Selectsort               Insertionsort            
0         0.0                      0.0                      0.0                      0.0                      
25        0.0                      0.0                      0.0                      0.0                      
50        0.0                      0.0                      0.0                      0.0                      
75        0.0                      0.0                      0.0                      0.0                      
100       0.0                      0.0                      0.0                      0.0                      
125       0.0                      0.0                      0.0                      0.0                      
150       0.0                      0.0                      0.0004584789             0.0                      
175       0.0028645992             0.0028645992             0.0004148483             0.0                      
200       0.0017929077             0.0017929077             0.0014762878             0.0                      
225       0.0024476051             0.0024476051             0.0038385391             0.0                      
250       0.0019440651             0.0019440651             0.0023949146             0.0                      
275       0.001970768              0.001970768              0.0                      0.0                      
300       0.0                      0.0                      0.0126085281             0.0                      
325       0.0044381618             0.0044381618             0.0004413128             0.0                      
350       0.0056154728             0.0056154728             0.0032939911             0.0                      
375       0.0066235065             0.0066235065             0.0                      0.0                      
400       0.009983778              0.009983778              0.0                      0.0                      
425       0.0010070801             0.0010070801             0.0                      0.0                      
450       0.0126819611             0.0126819611             0.004660368              0.0                      
475       0.0131547451             0.0131547451             0.0                      0.0                      
500       0.0126049519             0.0126049519             0.0                      0.0                      
525       0.0020678043             0.0020678043             0.0168931484             0.0                      
550       0.0160598755             0.0160598755             0.0                      0.0                      
575       0.0186538696             0.0186538696             0.0074863434             0.0                      
600       0.0232937336             0.0232937336             0.0052978992             0.0                      
625       0.0113148689             0.0113148689             0.015963316              0.0                      
650       0.0140087605             0.0140087605             0.0089318752             0.0                      
675       0.0178792477             0.0178792477             0.0144324303             0.0                      
700       0.0271494389             0.0271494389             0.0066950321             0.0                      
725       0.0280075073             0.0280075073             0.0                      0.0                      
750       0.0281279087             0.0281279087             0.0119774342             0.0                      
775       0.0435302258             0.0435302258             0.0020160675             0.0                      
800       0.0325577259             0.0325577259             0.0067379475             0.0                      
825       0.0350613594             0.0350613594             0.0272517204             0.0                      
850       0.0373854637             0.0373854637             0.007137537              0.0                      
875       0.1553575993             0.1553575993             0.0080370903             0.0                      
900       0.0407230854             0.0407230854             0.0140352249             0.0                      
925       0.0447635651             0.0447635651             0.0150029659             0.0                      
950       0.0579276085             0.0579276085             0.0183999538             0.0                      
975       0.0361204147             0.0361204147             0.0042088032             0.0                      
1000      0.0554201603             0.0554201603             0.0147309303             0.0                      
1025      0.0593211651             0.0593211651             0.0160906315             0.0                      
1050      0.0574109554             0.0574109554             0.0164096355             0.0                      
1075      0.0549297333             0.0549297333             0.0256228447             0.0                      
1100      0.0694828033             0.0694828033             0.0172719955             0.0008819103             
1125      0.0599241257             0.0599241257             0.0306050777             0.0                      
1150      0.0797786713             0.0797786713             0.0182433128             0.0                      
1175      0.0758152008             0.0758152008             0.0251209736             0.0                      
1200      0.0803449154             0.0803449154             0.0182337761             0.0                      
1225      0.0758421421             0.0758421421             0.0184364319             0.0                      
1250      0.0806519985             0.0806519985             0.0227913857             0.0                      
1275      0.0964722633             0.0964722633             0.0382874012             0.0                      
1300      0.0930528641             0.0930528641             0.0317716599             0.0                      
1325      0.1154839993             0.1154839993             0.0383310318             0.0                      
1350      0.09207201               0.09207201               0.0347185135             0.0                      
1375      0.1341559887             0.1341559887             0.0451061726             0.0                      
1400      0.114623785              0.114623785              0.0263245106             0.0                      
1425      0.1041815281             0.1041815281             0.0693821907             0.0025229454             
1450      0.1109092236             0.1109092236             0.0606379509             0.0                      
1475      0.1155080795             0.1155080795             0.0332305431             0.0                      
1500      0.1182789803             0.1182789803             0.0423724651             0.0                      
1525      0.1343858242             0.1343858242             0.0670113564             0.0                      
1550      0.1365861893             0.1365861893             0.0807492733             0.0                      
1575      0.12064147               0.12064147               0.062715292              0.0                      
1600      0.1480417252             0.1480417252             0.036380291              0.0                      
1625      0.1374504566             0.1374504566             0.0616679192             0.0                      
1650      0.1494348049             0.1494348049             0.0530893803             0.0                      
1675      0.26247859               0.26247859               0.0482497215             0.0                      
1700      0.1796007156             0.1796007156             0.0584273338             0.0                      
1725      0.1719796658             0.1719796658             0.0461335182             0.0                      
1750      0.1992378235             0.1992378235             0.0641465187             0.0                      
1775      0.1685390472             0.1685390472             0.0647280216             0.0                      
1800      0.1698763371             0.1698763371             0.0656347275             0.0                      
1825      0.2451407909             0.2451407909             0.0638892651             0.0                      
1850      0.2063245773             0.2063245773             0.0609593391             0.0                      
1875      0.2353498936             0.2353498936             0.0476386547             0.0                      
1900      0.2006003857             0.2006003857             0.0566544533             0.0                      
1925      0.2110438347             0.2110438347             0.0794885159             0.0                      
1950      0.2066247463             0.2066247463             0.0613703728             0.0                      
1975      0.202287674              0.202287674              0.0718634129             0.0                      
2000      0.2104611397             0.2104611397             0.0852940083             0.0                      
2025      0.2835285664             0.2835285664             0.0806562901             0.0                      
2050      0.228302002              0.228302002              0.0709600449             0.0                      
2075      0.2373781204             0.2373781204             0.0728693008             0.0                      
2100      0.2397987843             0.2397987843             0.0820066929             0.0                      
2125      0.2498970032             0.2498970032             0.0967683792             0.0                      
2150      0.2710039616             0.2710039616             0.0824062824             0.0                      
2175      0.2572796345             0.2572796345             0.092461586              0.0                      
2200      0.3656651974             0.3656651974             0.0836701393             0.0                      
2225      0.2557594776             0.2557594776             0.0893821716             0.0                      
2250      0.2895879745             0.2895879745             0.1101982594             0.0                      
2275      0.2964532375             0.2964532375             0.1055297852             0.0                      
2300      0.2892742157             0.2892742157             0.0912353992             0.0                      
2325      0.2841398716             0.2841398716             0.1149072647             0.0                      
2350      0.3109810352             0.3109810352             0.1132552624             0.0                      
2375      0.3147082329             0.3147082329             0.0997240543             0.0                      
2400      0.2886447906             0.2886447906             0.120319128              0.0                      
2425      0.3170750141             0.3170750141             0.0972487926             0.0                      
2450      0.3212926388             0.3212926388             0.1295862198             0.0                      
2475      0.3614752293             0.3614752293             0.1061573029             0.0                      
2500      0.3625378609             0.3625378609             0.1014387608             0.0080170631             
2525      0.3499140739             0.3499140739             0.097880125              0.0                      
2550      0.3437526226             0.3437526226             0.1226127148             0.0                      
2575      0.3431949615             0.3431949615             0.129938364              0.0084731579             
2600      0.3559978008             0.3559978008             0.0999827385             0.0                      
2625      0.4121978283             0.4121978283             0.2540297508             0.0                      
2650      0.3867502213             0.3867502213             0.1452183723             0.0                      
2675      0.3951058388             0.3951058388             0.1266794205             0.0                      
2700      0.4305617809             0.4305617809             0.130607605              0.0                      
2725      0.4328603745             0.4328603745             0.153999567              0.0                      
2750      0.4329721928             0.4329721928             0.1452791691             0.0                      
2775      0.445482254              0.445482254              0.1345131397             0.0                      
2800      0.4758439064             0.4758439064             0.1629459858             0.0                      
2825      0.4855446815             0.4855446815             0.1678996086             0.0                      
2850      0.4524629116             0.4524629116             0.1261665821             0.0                      
2875      0.5264205933             0.5264205933             0.1484334469             0.0                      
2900      0.5777950287             0.5777950287             0.1293742657             0.0                      
2925      0.4654092789             0.4654092789             0.2027907372             0.0                      
2950      0.5274255276             0.5274255276             0.1386241913             0.0                      
2975      0.7544467449             0.7544467449             0.1871945858             0.0                      
3000      0.5009601116             0.5009601116             0.1429502964             0.0                      
3025      0.5403785706             0.5403785706             0.1581201553             0.0                      
3050      0.5742635727             0.5742635727             0.1733608246             0.0                      
